comment_text,satd,comment_length
"/*
     * @see java.awt.event.WindowListener#windowIconified(java.awt.event.WindowEvent)
     */",0,96
// suppress (value defaults to null),0,36
"/*
     * @see org.argouml.uml.ui.AbstractActionNavigate#navigateTo(java.lang.Object)
     */",0,93
// if the added edge is a Create Message it will affect the position // of the ClassifierRole so it should be repositioned,0,122
//get 'em in the right order (not that it really matters),0,57
// Guaranteed to be non-null.,0,29
"// for specific-index cases, clean up non-expression values",0,59
// while more labels or blocks and haven't hit return control,0,61
// Guaranteed to return a non-null array,0,40
//do nothing,0,12
//$NON-NLS-1$,0,13
// lower bounds are the same,0,28
"/*
     * Test Functions - create the suite of tests
     */",0,60
// try negative key index,0,25
// Object#to_a is obsolete.  We match Ruby's hack until to_a goes away.  Then we can  // remove this hack too.,1,110
//}}},0,5
//}}},0,5
//}}},0,5
// trim extension to try other options,0,38
//Expand all of the rows in the tree if the root is non null.,0,61
"// i18n[HibernateConfigController.ReallyRemoveConfig=Are you sure you want to delete configuration ""{0}"".]",0,106
"/*
     * @see java.awt.event.MouseListener#mouseEntered(java.awt.event.MouseEvent)
     */",0,91
//i18n[CreateDriverAction.error.selectingwindow=Error selecting window],0,71
// may be the empty string,0,26
//$NON-NLS-1$,0,13
// For converters to use,0,24
//{{{ goToBufferEnd() method,0,28
"/**
   * Calls <code>caseXXX</code> for each class of the model until one returns a non null result; it yields that result.
   * <!-- begin-user-doc -->
   * <!-- end-user-doc -->
   * @return the first non-null result returned by a <code>caseXXX</code> call.
   * @generated
   */",0,281
// truncate string,0,18
// assert that the model element that depends on the profile is  // consistent,0,78
// default: sans serif //$NON-NLS-1$,0,36
// $NON-NLS-1$,0,14
// Probably a missing jar,0,25
//}}},0,5
//}}},0,5
// call isTrue on the result,0,28
// set flags,0,12
"// As a connection is held by only one thread, we cannot already have a  // preparedStatementMap put by another thread",0,118
"/*
     * @see org.argouml.uml.diagram.state.ui.FigHistoryState#getH()
     */",0,78
// line 896,0,11
// FIXME //this.image = SerialUtilities.readImage(stream);,1,58
// $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$,0,194
/* current stack len = 0 */,0,27
// flags // 4 bytes of modified time,0,36
//}}},0,5
"// SELECT last_number, max_value, min_value, cache_size, increment_by, cycle_flag // FROM USER_SEQUENCES WHERE sequence_name = ?;",0,129
// turn off SSL for the future,0,30
/** Are there are available data flow facts to run this problem? SSS FIXME: Silly optimization? */,1,98
"// ALTER TABLE tableName // ADD CONSTRAINT constraintName UNIQUE (column1, column2);",0,84
// check box for whether to read contents during table load or not,0,66
// close composer view,0,22
//}}},0,5
"// No need to log normally, as we set the status // $NON-NLS-1$",0,63
// we have the form: trim(from trimSource). //      This is functionally equivalent to trim(trimSource) // EARLY EXIT!!!!,0,121
// Now try mode.<mode>.<property>,0,33
// search all messages which match this filter,0,46
// use Algorithm specified by classname,0,39
// create a dataset...,0,22
// do the same for the XmlElement of child,0,42
// Create a FormLayout instance. //$NON-NLS-1$,0,46
// $NON-NLS-1$,0,14
//no point doing this if NONE was requested,0,43
//{{{ Private members,0,21
"/*
		 * Internal class for handling key events during editing
		 * of both JTextField and JTextArea.
		 */",0,106
"// for MacOSX we can't use the CTRL key for mouse drags, see: // http://developer.apple.com/qa/qa2004/qa1362.html",0,113
//i18n[FormatterSourceTab.noSourceAvailable=No object source code is  //available],0,82
//Ignore - we will use the defaults.,0,36
"/* If a message has a name and a named operation 
         * and an expression with no script,
         * then show the operation: */",0,133
// Use for ComboBox Source Address Type. Preserve order (specially with localization),0,85
"// TODO i18n ""Close"" button",1,27
// extra field,0,14
// Expanders - trigger and index expanders are added inside the table // expander,0,81
/* Testing: does not fire. */,0,29
//}}},0,5
// delete any cached information,0,32
// set columba.color flag,0,25
"// Use a SwtPaintCanvas to show the color, note that we must set the // heightHint.",0,83
//To change body of implemented methods use File | Settings | File Templates.,0,77
// throw BuildException on error,0,32
// replace all occurances of OFFENDER with the name of the // first offender,0,76
// builder2.addGlue();,0,22
// keep track of remote tests,0,29
//}}},0,5
//}}},0,5
//ignore,0,8
"// the path to the plugin.xml descriptor file is: // ""<config-folder>/plugins/<plugin-id>/plugin.xml",0,100
// Test to see if correct suffix was used to create the tempfile.,0,65
// TODO: figure out why bind variables aren't working,1,53
// i'th argument,0,16
// Options,0,10
